Campaign,Ad Group,Keyword,Match Type,Status,Final URL
Marcas,Volkswagen,cross seminovo,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Renault,sandero usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,cross 2017,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,c4 2020,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Renault,duster 2023,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,golf 2017,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,aircross 2017,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Renault,sandero 2017,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,voyage 2019,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,c3 2017,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Renault,renault 2017,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,cross 2022,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,fox 2020,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,volkswagen 2022,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,volkswagen 2018,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,aircross 2019,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Volkswagen,volkswagen seminovo,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,aircross 2018,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Renault,sandero 2022,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,cross 2020,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,voyage 2022,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,voyage 2017,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Renault,logan seminovo,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,spacecross 2022,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,voyage usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,aircross seminovo,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Volkswagen,spacecross 2018,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,citroen 2019,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Volkswagen,gol 2017,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Renault,duster usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Renault,kwid 2020,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,golf 2021,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,spacecross 2021,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,aircross 2023,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Volkswagen,vw usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Renault,duster 2018,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,cross 2021,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,volkswagen 2020,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,up usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Renault,renault 2023,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,voyage 2021,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,citroen 2021,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Volkswagen,golf 2022,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,fox usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,polo 2023,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Renault,kwid 2017,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,volkswagen 2023,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,voyage 2020,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Renault,kwid seminovo,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,cross usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Renault,logan 2020,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,voyage 2023,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Renault,logan usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Renault,sandero 2018,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Citroën,citroen 2018,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Citroën,aircross 2020,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Renault,kwid usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Volkswagen,cross 2023,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,golf usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,c3 2023,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Volkswagen,vw seminovo,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,c3 usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Volkswagen,voyage 2018,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Volkswagen,gol 2019,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Volkswagen
Marcas,Citroën,citroen usado,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Citro%C3%ABn
Marcas,Renault,sandero 2019,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Renault,renault 2022,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
Marcas,Renault,duster 2021,Phrase,Paused,https://www.atriaveiculos.com/estoque-carros-usados-seminovos-campinas-sp?marca=Renault
