marca,modelo,ano,id,status,campo,antes_gpt,depois_sonnet,tipo_mudanca
Jeep,COMPASS,2018,497519,OK,Potência (cv),,"<cite index=""1-2"">166</cite>",added
Jeep,COMPASS,2018,497519,OK,Torque (kgf·m),,"<cite index=""1-2"">20,5</cite>",added
Jeep,COMPASS,2018,497519,OK,Comprimento (mm),,"<cite index=""15-1,15-16"">4.416</cite>",added
Jeep,COMPASS,2018,497519,OK,Largura (mm),,"<cite index=""15-1,15-16"">1.819</cite>",added
Jeep,COMPASS,2018,497519,OK,Altura (mm),,"<cite index=""15-1,15-16"">1.630</cite>",added
Jeep,COMPASS,2018,497519,OK,Entre-eixos (mm),,"<cite index=""15-1,15-16"">2.636</cite>",added
Jeep,COMPASS,2018,497519,OK,Peso (kg),,"<cite index=""33-1"">1.541</cite>",added
Jeep,COMPASS,2018,497519,OK,Porta-malas (L),,"<cite index=""15-2,15-17"">410</cite>",added
Jeep,COMPASS,2018,497519,OK,Tanque (L),,"<cite index=""25-1,30-1"">60</cite>",added
Jeep,COMPASS,2018,497519,OK,Consumo urbano (km/l),,"<cite index=""1-2,15-35"">8,1</cite>",added
Jeep,COMPASS,2018,497519,OK,Consumo rodov. (km/l),,"<cite index=""1-1,1-5,15-36"">10,5</cite>",added
VolksWagen,T-Cross,2021,739262,OK,Potência (cv),128,116,changed
VolksWagen,T-Cross,2021,739262,OK,Torque (kgf·m),20.4,"20,4",changed
VolksWagen,T-Cross,2021,739262,OK,Tanque (L),41,52,changed
VolksWagen,T-Cross,2021,739262,OK,Consumo urbano (km/l),12,"11,2",changed
VolksWagen,T-Cross,2021,739262,OK,Consumo rodov. (km/l),14,"13,5",changed
VolksWagen,T-Cross,2021,739262,OK,Entre-eixos (mm),2651,2.651,changed
VolksWagen,T-Cross,2021,739262,OK,Comprimento (mm),4118,4.199,changed
VolksWagen,T-Cross,2021,739262,OK,Largura (mm),1760,1.760,changed
VolksWagen,T-Cross,2021,739262,OK,Altura (mm),1584,1.570,changed
VolksWagen,T-Cross,2021,739262,OK,Peso (kg),1260,1.292,changed
Chevrolet,TRACKER,2014,825683,OK,Torque (kgf·m),18.9,"17,8",changed
Chevrolet,TRACKER,2014,825683,OK,Tanque (L),44,53,changed
Chevrolet,TRACKER,2014,825683,OK,Consumo urbano (km/l),8.5,"8,3",changed
Chevrolet,TRACKER,2014,825683,OK,Consumo rodov. (km/l),10.5,"11,9",changed
Chevrolet,TRACKER,2014,825683,OK,Entre-eixos (mm),2570,2.555,changed
Chevrolet,TRACKER,2014,825683,OK,Comprimento (mm),4270,4.248,changed
Chevrolet,TRACKER,2014,825683,OK,Largura (mm),1791,1.776,changed
Chevrolet,TRACKER,2014,825683,OK,Altura (mm),1620,1.647,changed
Chevrolet,TRACKER,2014,825683,OK,Peso (kg),1300,1.355,changed
Chevrolet,TRACKER,2014,825683,OK,Porta-malas (L),393,306,changed
VolksWagen,VIRTUS,2020,836694,OK,Torque (kgf·m),20.4,"20,4",changed
VolksWagen,VIRTUS,2020,836694,OK,Consumo urbano (km/l),10.8,"7,8",changed
VolksWagen,VIRTUS,2020,836694,OK,Consumo rodov. (km/l),13.6,"10,2",changed
VolksWagen,VIRTUS,2020,836694,OK,Entre-eixos (mm),2650,2.651,changed
VolksWagen,VIRTUS,2020,836694,OK,Comprimento (mm),4482,4.482,changed
